Stock,Label,Symbol
0,1,AIZ
1,1,AJG
2,3,AKAM
3,3,ALB
4,2,ALGN
5,4,ALK
6,2,ALL
7,2,ALLE
8,2,ALXN
9,1,AMAT
10,4,AMD
11,1,AME
12,1,AMG
13,2,AMGN
14,1,AMP
15,4,AMT
16,3,AMZN
17,3,ANDV
18,2,ANSS
19,2,ANTM
20,1,AON
21,1,AOS
22,3,APA
23,3,APC
24,2,APD
25,1,APH
26,1,APTV
27,4,ARE
28,2,ARNC
29,2,ATVI
30,4,AVB
31,4,AVGO
32,2,AVY
33,4,AWK
34,1,AXP
35,4,AYI
36,4,AZO
37,2,BA
38,1,BAC
39,1,BAX
40,1,BBT
41,4,BBY
42,1,BDX
43,1,BEN
44,3,BHF
45,3,BHGE
46,4,BIIB
47,1,BK
48,4,BKNG
49,1,BLK
50,4,BLL
51,3,BMY
52,1,BSX
53,2,BWA
54,4,BXP
55,1,C
56,1,CA
57,4,CAG
58,3,CAH
59,2,CAT
60,1,CB
61,4,CBOE
62,2,CBRE
63,3,CBS
64,4,CCI
65,2,CCL
66,2,CDNS
67,3,CELG
68,2,CERN
69,3,CF
70,1,CFG
71,4,CHD
72,2,CHRW
73,3,CHTR
74,3,CI
75,1,CINF
76,2,CL
77,4,CLX
78,1,CMA
79,2,CMCSA
80,2,CME
81,4,CMG
82,2,CMI
83,4,CMS
84,3,CNC
85,4,CNP
86,1,COF
87,3,COG
88,2,COL
89,2,COO
90,3,COP
91,2,COST
92,4,COTY
93,4,CPB
94,2,CRM
95,1,CSCO
96,2,CSX
97,2,CTAS
98,2,CTL
99,1,CTSH
100,1,CTXS
101,2,CVS
102,3,CVX
103,3,CXO
104,4,D
105,4,DAL
106,2,DE
107,1,DFS
108,3,DG
109,2,DGX
110,3,DHI
111,1,DHR
112,2,DIS
113,3,DISCA
114,3,DISCK
115,3,DISH
116,4,DLR
117,4,DLTR
118,2,DOV
119,4,DPS
120,4,DRE
121,3,DRI
122,4,DTE
123,4,DUK
124,3,DVA
125,3,DVN
126,2,DWDP
127,1,DXC
128,2,EA
129,3,EBAY
130,2,ECL
131,4,ED
132,2,EFX
133,4,EIX
134,2,EL
135,1,EMN
136,1,EMR
137,3,EOG
138,4,EQIX
139,4,EQR
140,2,EQT
141,4,ES
142,3,ESRX
143,4,ESS
144,1,ETFC
145,1,ETN
146,4,ETR
147,4,EVHC
148,3,EW
149,4,EXC
150,2,EXPD
151,4,EXPE
152,4,EXR
153,3,F
154,3,FAST
155,2,FB
156,2,FBHS
157,3,FCX
158,2,FDX
159,4,FE
160,4,FFIV
161,1,FIS
162,3,FISV
163,1,FITB
164,4,FL
165,1,FLIR
166,1,FLR
167,3,FLS
168,3,FMC
169,2,FOX
170,2,FOXA
171,4,FRT
172,3,FTI
173,2,FTV
174,3,GD
175,4,GE
176,4,GGP
177,2,GILD
178,4,GIS
179,2,GLW
180,2,GM
181,1,GOOG
182,1,GOOGL
183,2,GPC
184,1,GPN
185,3,GPS
186,3,GRMN
187,1,GS
188,2,GT
189,3,GWW
190,3,HAL
191,4,HAS
192,1,HBAN
193,2,HBI
194,3,HCA
195,4,HCP
196,1,HD
197,3,HES
198,1,HIG
199,3,HII
200,2,HLT
201,3,HOG
202,2,HOLX
203,1,HON
204,3,HP
205,3,HPE
206,1,HPQ
207,4,HRB
208,4,HRL
209,3,HRS
210,3,HSIC
211,2,HST
212,4,HSY
213,2,HUM
214,1,IBM
215,1,ICE
216,1,IDXX
217,2,IFF
218,1,ILMN
219,3,INCY
220,2,INFO
221,1,INTC
222,1,INTU
223,2,IP
224,3,IPG
225,3,IPGP
226,2,IQV
227,1,IR
228,4,IRM
229,1,ISRG
230,2,IT
231,1,ITW
232,1,IVZ
233,2,JBHT
234,3,JCI
235,1,JEC
236,1,JEF
237,2,JNJ
238,2,JNPR
239,1,JPM
240,3,JWN
241,4,K
242,1,KEY
243,2,KHC
244,4,KIM
245,1,KLAC
246,2,KMB
247,3,KMI
248,3,KMX
249,2,KO
250,2,KORS
251,3,KR
252,3,KSS
253,2,KSU
254,1,L
255,3,LB
256,3,LEG
257,3,LEN
258,1,LH
259,2,LKQ
260,3,LLL
261,2,LLY
262,3,LMT
263,1,LNC
264,4,LNT
265,2,LOW
266,1,LRCX
267,4,LUV
268,3,LYB
269,3,M
270,1,MA
271,4,MAA
272,4,MAC
273,2,MAR
274,2,MAS
275,4,MAT
276,2,MCD
277,2,MCHP
278,3,MCK
279,1,MCO
280,2,MDLZ
281,1,MDT
282,2,MET
283,2,MGM
284,2,MHK
285,3,MKC
286,3,MLM
287,1,MMC
288,1,MMM
289,3,MNST
290,2,MO
291,4,MON
292,3,MOS
293,3,MPC
294,2,MRK
295,3,MRO
296,1,MS
297,2,MSCI
298,1,MSFT
299,3,MSI
300,1,MTB
301,1,MTD
302,2,MU
303,2,MYL
304,3,NAVI
305,3,NBL
306,2,NCLH
307,1,NDAQ
308,4,NEE
309,3,NEM
310,3,NFLX
311,3,NFX
312,4,NI
313,2,NKE
314,4,NKTR
315,2,NLSN
316,3,NOC
317,3,NOV
318,3,NRG
319,2,NSC
320,2,NTAP
321,1,NTRS
322,3,NUE
323,1,NVDA
324,4,NWL
325,2,NWS
326,2,NWSA
327,4,O
328,3,OKE
329,4,OMC
330,3,ORCL
331,4,ORLY
332,3,OXY
333,1,PAYX
334,1,PBCT
335,2,PCAR
336,4,PCG
337,4,PEG
338,2,PEP
339,2,PFE
340,2,PFG
341,2,PG
342,2,PGR
343,2,PH
344,3,PHM
345,1,PKG
346,1,PKI
347,4,PLD
348,4,PM
349,1,PNC
350,1,PNR
351,4,PNW
352,2,PPG
353,4,PPL
354,2,PRGO
355,1,PRU
356,4,PSA
357,3,PSX
358,2,PVH
359,1,PWR
360,2,PX
361,3,PXD
362,4,PYPL
363,2,QCOM
364,3,QRVO
365,2,RCL
366,3,RE
367,4,REG
368,3,REGN
369,1,RF
370,1,RHI
371,2,RHT
372,1,RJF
373,2,RL
374,3,RMD
375,1,ROK
376,1,ROP
377,4,ROST
378,3,RRC
379,2,RSG
380,3,RTN
381,4,SBAC
382,3,SBUX
383,4,SCG
384,1,SCHW
385,2,SEE
386,2,SHW
387,1,SIVB
388,4,SJM
389,3,SLB
390,4,SLG
391,2,SNA
392,2,SNPS
393,4,SO
394,4,SPG
395,1,SPGI
396,4,SRCL
397,4,SRE
398,1,STI
399,1,STT
400,2,STX
401,3,STZ
402,1,SWK
403,3,SWKS
404,1,SYF
405,1,SYK
406,3,SYMC
407,2,SYY
408,2,T
409,3,TAP
410,3,TDG
411,1,TEL
412,3,TGT
413,3,TIF
414,4,TJX
415,1,TMK
416,2,TMO
417,3,TPR
418,3,TRIP
419,1,TROW
420,1,TRV
421,4,TSCO
422,3,TSN
423,1,TSS
424,2,TTWO
425,2,TWX
426,2,TXN
427,3,TXT
428,3,UA
429,3,UAA
430,4,UAL
431,4,UDR
432,3,UHS
433,4,ULTA
434,2,UNH
435,1,UNM
436,2,UNP
437,4,UPS
438,1,URI
439,1,USB
440,2,UTX
441,1,V
442,3,VAR
443,3,VFC
444,4,VIAB
445,3,VLO
446,3,VMC
447,4,VNO
448,2,VRSK
449,2,VRSN
450,2,VRTX
451,4,VTR
452,2,VZ
453,1,WAT
454,2,WBA
455,2,WDC
456,4,WEC
457,4,WELL
458,1,WFC
459,2,WHR
460,1,WLTW
461,1,WM
462,3,WMB
463,3,WMT
464,1,WRK
465,2,WU
466,2,WY
467,4,WYNN
468,3,XEC
469,4,XEL
470,4,XL
471,1,XLNX
472,2,XOM
473,3,XRAY
474,4,XRX
475,1,XYL
476,2,YUM
477,2,ZBH
478,1,ZION
479,1,ZTS
480,1,A
481,4,AAL
482,4,AAP
483,1,AAPL
484,3,ABBV
485,3,ABC
486,3,ABMD
487,1,ABT
488,1,ACN
489,1,ADBE
490,1,ADI
491,2,ADM
492,1,ADP
493,2,ADS
494,4,ADSK
495,4,AEE
496,4,AEP
497,4,AES
498,2,AET
499,4,AFL
500,3,AGN
501,3,AIG
502,4,AIV
